id,nome,data_nascimento,cpf,cep,cidade,estado,pais,genero,telefone,email,data_cadastro
28aa0c87-5256-4f40-9589-df828750f390,Sr. Gustavo Henrique Cunha,2001-07-15,201.707.845-12,22819997,Melo,DF,Brasil,M,+55 (031) 7117-5335,20170784512@exemplo.com.br,2025-03-21
d7412b00-3b9d-4b16-8090-1ca3dad1d4e7,Cecília Pastor,1935-10-01,539.524.493-24,71476-113,da Rocha de Minas,ES,Brasil,M,+55 84 4405-6644,53952449324@exemplo.com.br,2023-07-25
9aa52492-549c-4699-8b78-1f747271da64,Dr. Théo Sales,1995-02-10,382.267.989-46,63334434,Viana da Prata,MA,Brasil,F,+55 (081) 3458 9354,38226798946@exemplo.com.br,2024-03-15
8ef05300-d305-4a4b-b8c2-287b2768c901,Srta. Bianca Machado,1977-03-17,386.643.808-58,89743272,da Costa,AM,Brasil,M,+55 (021) 3533 6801,38664380858@exemplo.com.br,2024-06-29
52c741d8-ff99-4de8-8435-4e4c419600e7,Dr. Luiz Miguel Melo,1981-11-19,823.943.895-22,61292-808,Sampaio dos Dourados,PB,Brasil,M,(021) 7857-7466,82394389522@exemplo.com.br,2024-12-01
5c87f368-a1c9-4726-9f73-dc3b01b49765,Sr. Yan da Luz,1973-10-08,790.132.093-05,72274-505,Jesus,AP,Brasil,M,+55 (011) 9652 1825,79013209305@exemplo.com.br,2025-02-10
82e7c789-f2f6-490d-a4a0-3dd85eb158e3,Sra. Maria Laura Guerra,1979-05-29,706.446.451-09,82885-992,Novaes,AM,Brasil,M,+55 84 6120 6689,70644645109@exemplo.com.br,2025-04-10
15bb427a-6393-4fd3-accd-1aa61fec6cff,Murilo Duarte,1943-02-15,337.774.000-94,36085-914,Machado Verde,AP,Brasil,M,+55 (051) 7076 5013,33777400094@exemplo.com.br,2025-03-16
c2a22c51-ce25-44f6-8860-fc865ce1901f,Calebe Azevedo,1975-07-05,835.671.522-12,56169-566,Ferreira,PA,Brasil,F,31 6472 3215,83567152212@exemplo.com.br,2023-11-16
45705fda-6926-4a8b-a9bc-ca1956fb80fd,Arthur Gabriel Andrade,1951-07-12,103.378.868-96,71372-260,Campos de Goiás,AC,Brasil,M,41 3020-9786,10337886896@exemplo.com.br,2023-10-16
c2a481ce-58bc-4ca0-8012-0c73c2fbca90,Luiz Gustavo Aragão,1997-07-06,530.996.615-96,98518-537,Sales do Norte,PR,Brasil,M,+55 61 4830 4388,53099661596@exemplo.com.br,2024-02-09
43809fcd-8845-4985-b68f-aa3798571d6c,Luiz Henrique Rios,1966-11-23,036.331.960-23,84086583,Gonçalves,AL,Brasil,M,+55 (021) 1532-8588,03633196023@exemplo.com.br,2024-04-28
19f0197d-0547-4359-9168-522f127f2cf0,Cauê Cunha,1942-11-11,046.342.075-27,93974-282,Costela Alegre,PE,Brasil,M,(081) 0692-3862,04634207527@exemplo.com.br,2024-12-28
288eddcd-6690-4f11-b2c1-7f51cb4333c6,Dr. Luiz Henrique Aparecida,1973-02-13,399.806.105-49,99716069,Porto do Oeste,AC,Brasil,M,41 3220-2144,39980610549@exemplo.com.br,2025-05-26
10e05e6d-8fda-4b2d-865c-76775cfaaee4,Ana Beatriz Rodrigues,1975-09-28,624.230.105-59,17729-944,Vieira de Silva,MG,Brasil,M,0500 904 9124,62423010559@exemplo.com.br,2024-03-04
8115772b-c03f-480a-8d40-7fee3ed6bb23,Letícia Correia,1959-07-25,817.320.718-95,81562-343,Monteiro,TO,Brasil,M,+55 (081) 5670-1580,81732071895@exemplo.com.br,2024-04-21
e8d2d163-82f8-45c8-9307-24e77660328c,Luísa Barros,1939-02-14,800.475.762-15,96897255,Moraes,MG,Brasil,F,+55 (041) 1158-9331,80047576215@exemplo.com.br,2024-05-08
168cf997-403c-464d-8e25-64a5754b3ee6,Otávio Martins,1993-06-26,831.477.093-84,49048-297,Teixeira,CE,Brasil,M,+55 (041) 0972 5353,83147709384@exemplo.com.br,2023-09-05
8afb5d2e-789b-4e42-943a-1f7a49b64dbc,Arthur Miguel Nascimento,1995-08-04,236.665.751-12,81643-677,Moraes de Goiás,PB,Brasil,F,+55 (051) 6546-1863,23666575112@exemplo.com.br,2024-06-18
036ac7fd-6230-46a5-8691-76cd01975906,Pedro Henrique Teixeira,1995-09-26,922.222.443-31,98477858,Cunha,AM,Brasil,F,84 9213 2511,92222244331@exemplo.com.br,2023-12-28
bde348f9-665e-473c-8e0c-52fdf09897ec,Pietro Albuquerque,1963-03-12,718.162.987-04,69651-717,Camargo da Praia,ES,Brasil,M,+55 (084) 7458-4408,71816298704@exemplo.com.br,2024-04-14
276372ec-17d3-4c98-b08d-854d787e18b6,Yan Rocha,1981-05-09,573.448.828-93,19932444,Azevedo Verde,SC,Brasil,M,(084) 8324 6261,57344882893@exemplo.com.br,2024-04-17
a9b9307b-a2b4-41bd-8cae-1d96ad27c644,Caleb Rocha,1987-04-16,048.578.904-15,67678-251,Martins,PA,Brasil,F,+55 (081) 4100-3703,04857890415@exemplo.com.br,2023-07-12
90bb9800-976e-4338-9751-64700f44da03,Dr. Renan da Luz,1951-10-13,288.014.572-92,26309-996,Nunes de Goiás,PB,Brasil,F,+55 21 7034-9507,28801457292@exemplo.com.br,2023-12-31
e117b8f8-3448-4f78-9345-3bbca9622757,Catarina Cassiano,1985-08-06,835.808.655-67,88186031,Alves do Sul,MS,Brasil,F,41 4629 7362,83580865567@exemplo.com.br,2024-03-16
0081f759-be56-47e9-8235-c791754feb7e,Ana Julia Nogueira,1948-08-26,687.865.899-59,38646-202,Vargas Paulista,SP,Brasil,M,0800-007-6687,68786589959@exemplo.com.br,2023-10-20
eb866852-f1e3-4c64-902c-1655a4a5977b,Lucas Gabriel Moreira,1978-12-11,219.498.138-08,69315-434,Nascimento de Pastor,PR,Brasil,M,0500-292-3788,21949813808@exemplo.com.br,2024-06-06
c195d87b-9ac6-42dd-b28d-d4b92f46726c,Luísa Aparecida,1965-05-18,811.011.496-46,28246418,Aragão,RJ,Brasil,F,(041) 8344-4956,81101149646@exemplo.com.br,2024-12-09
3698b64a-62c6-4194-887b-247db8a865f9,Luan Vargas,1959-04-27,889.121.231-17,81271-075,Cavalcanti,CE,Brasil,M,+55 31 9960-7101,88912123117@exemplo.com.br,2024-01-25
dc239733-ba9e-4e78-950f-c20d67165260,Pietra Campos,2001-12-22,691.368.476-32,46447470,Fernandes Grande,PE,Brasil,M,+55 (084) 6129 9095,69136847632@exemplo.com.br,2024-04-26
b594884b-0df3-4a21-8257-8dd233b7c62a,Davi Cirino,1960-01-02,395.031.016-09,56845803,Pacheco do Galho,MS,Brasil,F,0800 038 8145,39503101609@exemplo.com.br,2024-02-16
e4b3d62b-592d-4a57-a697-d52a160eb881,Lorenzo Pereira,1986-04-15,377.936.969-41,71142173,Aparecida,GO,Brasil,M,+55 51 5119 0294,37793696941@exemplo.com.br,2024-04-25
